Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Roger Tambellini,77,62.57,2010,292,69.73,30.71,54.26,71.969,219,0,1,-0.789,-0.925,0.085,-0.235,0,"370,736"
Greg Kraft,52,62.5,2010,273.2,60.63,29.78,53.37,73.07,14,0,0,-0.182,-2.041,-0.876,-0.572,-0.408,"52,176"
Luke Donald,71,62.36,2010,277,65.28,28.46,65.41,69.85,"1,089",0,5,0.87,1.493,-0.506,0.661,0.464,"3,665,234"
Mark Calcavecchia,50,62.18,2010,281,65.48,30.02,50.96,72.222,88,0,0,-0.871,-0.996,-0.177,0.363,-0.311,"119,980"
Freddie Jacobson,83,62.16,2010,283.1,67.8,28.93,63.2,70.367,826,0,3,0.241,0.722,-0.064,0.302,0.241,"1,666,252"
Matt Every,60,62.06,2010,290.9,64.75,28.93,57.61,70.986,322,0,1,0.24,-0.073,0.166,-0.292,-0.185,"456,847"
Steve Marino,81,61.96,2010,290.6,67.49,29.53,56.33,70.875,636,0,2,0.261,0.567,0.27,-0.016,0.053,"1,479,239"
Steve Lowery,67,61.9,2010,286.2,65.52,30.03,50.38,72.202,67,0,0,-0.386,-1.177,0.122,-0.31,-0.607,"118,602"
Jerod Turner,54,61.66,2010,279,58.94,29,50.88,72.602,57,0,0,-0.002,-1.885,-0.351,-1.179,-0.353,"91,343"
Charley Hoffman,85,61.59,2010,298.2,66.53,28.73,60.6,70.254,546,0,3,0.104,0.995,0.638,0.317,-0.065,"2,559,646"
Jonathan Byrd,85,61.54,2010,290.9,70,29.54,61.66,70.437,415,0,2,0.029,0.524,0.091,0.046,0.354,"1,534,981"
Greg Owen,69,61.46,2010,291.4,69,30.1,52.73,71.77,184,0,0,-0.641,-0.745,0.2,-0.103,-0.205,"268,835"
Andrew McLardy,52,61.43,2010,289.9,65.97,29.69,53.4,72.217,23,0,0,-0.172,-1.005,0.079,-0.536,-0.375,"53,106"
Bob Estes,79,61.41,2010,283.9,67.79,29.59,60.48,71.086,432,0,2,0.014,-0.048,-0.33,0.143,0.123,"701,158"
D.J. Trahan,92,61.4,2010,301.1,71.26,30.02,54.83,70.661,577,0,5,-0.467,0.494,0.692,0.45,-0.179,"1,619,693"
Paul Casey,64,61.31,2010,294.2,68.68,29.07,60.86,69.72,992,0,5,0.812,1.411,0.215,0.483,-0.111,"3,613,194"
Nathan Green,86,61,2010,279.5,63.18,28.94,60.18,71.421,414,0,1,0.339,-0.254,-0.566,-0.192,0.167,"636,180"
Jeev Milkha Singh,59,60.94,2010,287.3,65.28,29.08,63.69,70.631,253,0,1,-0.045,0.118,-0.092,-0.139,0.396,"420,245"
Garth Mulroy,53,60.7,2010,295.6,70.07,30.18,53.41,72,160,0,1,-0.586,-0.436,0.124,0.178,-0.154,"287,118"
Ted Purdy,86,60.61,2010,290.8,63.96,29.61,52.44,71.824,244,0,0,-0.114,-0.892,-0.124,-0.405,-0.256,"307,677"
Webb Simpson,98,60.47,2010,285.4,66.16,28.73,59.46,70.683,478,0,1,0.37,0.169,-0.308,-0.046,0.153,"972,962"
Michael Bradley,77,60.37,2010,281.5,68.65,29.62,59.47,71.498,306,0,0,-0.084,-0.392,-0.676,0.219,0.147,"360,845"
Troy Matteson,84,60.36,2010,296.3,71.43,30.44,55.79,71.31,425,0,2,-0.445,-0.157,0.515,0.042,-0.269,"736,060"
Rory Sabbatini,79,60.28,2010,289.1,66.74,29.36,56.48,71.366,618,0,2,-0.202,0.16,0.3,-0.218,0.276,"1,546,808"
Chad Collins,87,60.27,2010,275.8,63.29,28.28,64.37,70.599,512,0,3,0.626,0.143,-0.66,-0.116,0.293,"815,961"
Martin Laird,91,60.27,2010,296.5,67.83,29.68,57.31,71.158,477,0,2,-0.304,0.145,0.354,0.143,-0.049,"2,137,928"
Brett Quigley,96,60.26,2010,283.2,70.12,29.94,57.93,71.082,336,0,1,0.078,0.065,-0.422,0.425,-0.016,"497,296"
Roland Thatcher,72,60.04,2010,288,65.9,29.69,57.24,71.82,142,0,1,-0.384,-0.788,-0.061,-0.095,-0.253,"796,157"
Chris Wilson,65,59.93,2010,291.7,63.28,29.56,53.85,72.682,58,0,0,-0.668,-1.631,-0.112,-0.629,-0.221,"76,481"
Lee Janzen,77,59.91,2010,287.7,67.68,29.38,57.81,71.194,280,0,1,-0.302,-0.199,-0.177,0.192,0.086,"603,195"
Greg Chalmers,93,59.8,2010,275.5,66.01,28.53,64.32,70.732,558,0,2,0.772,0.354,-0.555,0.06,0.07,"989,415"
Brad Faxon,58,59.47,2010,271.4,59.05,29.02,47.49,73.116,39,0,0,0.426,-2.093,-1.343,-0.622,-0.553,"55,482"
Troy Merritt,86,59.37,2010,288.2,65.48,28.96,54.98,71.486,331,0,1,0.512,-0.437,-0.177,-0.45,-0.326,"786,977"
Joe Ogilvie,99,59.32,2010,285.9,66.07,29.23,56.69,71.296,454,0,1,0.096,-0.249,-0.005,-0.19,-0.142,"641,797"
