Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,SG_PUTTING_PER_ROUND,AVG_Driving_DISTANCE,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,SG_PUTTING_PER_ROUND,AVG_SCORE,HOLES_PLAYED,AGE,
Jhonattan Vegas,27,598,0,1,-0.136,303.1,0.108,0.311,-0.078,-0.124,-0.136,71.275,1602,35,
Jim Furyk,15,291,0,2,0.327,280.5,0.087,-0.277,0.111,0.253,0.327,70.342,864,48,
Jimmy Walker,23,741,0,4,0.384,298.5,-0.013,-0.467,0.273,0.181,0.384,70.786,1386,39,
Joel Dahmen,28,676,0,3,-0.277,295.8,0.677,0.3,0.382,-0.004,-0.277,70.578,1530,32,
John Huh,29,480,0,2,0.167,287.1,0.083,-0.11,0.24,-0.047,0.167,70.718,1620,35,
Johnson Wagner,21,338,0,0,0.623,286.1,0.092,-0.213,0.078,0.226,0.623,70.758,1242,34,
Jonas Blixt,23,167,0,0,0.244,293.1,-0.791,-0.424,-0.563,0.196,0.244,72.134,1098,30,
Jonathan Byrd,24,147,0,0,-0.106,291.7,-0.16,-0.542,0.043,0.339,-0.106,71.398,1116,38,
Jonathan Randolph,25,166,0,1,0.115,289.4,-0.992,-0.271,-0.538,-0.182,0.115,71.945,1170,34,
Jordan Spieth,22,1299,0,5,-0.031,299.9,1.016,0.304,0.445,0.267,-0.031,69.904,1368,25,
Keegan Bradley,25,979,0,4,-0.493,300.3,1.384,0.288,0.99,0.107,-0.493,70.254,1602,32,
Keith Mitchell,28,839,0,4,-0.509,312.9,0.534,0.742,-0.118,-0.09,-0.509,70.92,1746,34,
Kelly Kraft,31,627,0,3,0.075,288.6,-0.395,-0.286,0.017,-0.126,0.075,71.333,1656,26,
Kevin Chappell,23,667,0,4,-0.406,308.8,0.828,0.628,0.391,-0.191,-0.406,70.839,1332,31,
Kevin Kisner,24,1111,0,4,0.564,291.1,-0.381,-0.005,-0.306,-0.069,0.564,70.729,1404,34,
Kevin Streelman,27,724,0,5,-0.25,295.1,0.868,0.439,0.415,0.014,-0.25,70.436,1656,38,
Kevin Tway,31,643,0,3,0.052,310.1,0.277,0.271,0.032,-0.026,0.052,70.8,1872,33,
Kiradech Aphibarnrat,24,746,0,2,0.031,294.6,0.261,0.491,-0.347,0.117,0.031,70.629,828,34,
